date,a2c,ddpg,ppo,td3,sac,mvo,dji
2020-07-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1020020.7357690192,1000000.0
2020-07-02,1000519.2662541545,1000440.8453472138,1000258.7220886535,1001084.6585330964,1000673.1537123257,1023280.3674757606,
2020-07-06,1008067.9456492848,1004487.2263427734,1003098.119519165,1008642.0893623352,1005025.707834686,1059889.2819842056,1021449.3879930056
2020-07-07,998794.6232675404,998684.578969574,999743.257137764,993730.2904453278,997266.1244505004,1055572.207086042,1006030.6671361958
2020-07-08,1004148.6892436146,1002519.034777832,1002326.8406985628,999119.2120307923,998711.2971196707,1075945.8015425082,1012912.4064989315
2020-07-09,995135.2318664592,996389.6181674957,1000186.541025978,983174.6760057831,988004.0880976294,1098139.7390505695,998877.0005585778
2020-07-10,1002182.4707804455,997232.6201694489,1003359.7220745087,993658.9688991051,996037.3000044173,1103467.12498398,1013223.2671944823
2020-07-13,995585.2266966747,994205.9970451202,996790.7096609802,993340.7679255944,999063.8455118026,1078025.5698822353,1013631.2718573925
2020-07-14,1013378.8032123912,1013005.5384574737,1003924.3772807769,1015271.0161479454,1020638.3423943022,1082270.094804562,1035267.130731494
2020-07-15,1019498.7535632595,1011363.8892417755,1007814.2484083786,1023813.047302578,1028263.0408268126,1071348.7022673246,1044107.2317612201
2020-07-16,1010104.4937743801,1011926.3512473907,1001101.702572075,1019705.2590831261,1023655.5701006011,1062581.6194977073,1038845.8993102778
2020-07-17,1009716.8034938816,1014809.1029411163,999433.925136925,1020885.6996692162,1023942.7814676627,1054411.037541852,1036405.6883864388
2020-07-20,1019212.1096056103,1025580.1238303985,1012786.4942739564,1021299.493484829,1021581.5610359763,1106291.2803087824,1036755.4066689333
2020-07-21,1023162.0147146229,1021799.9007011261,1011523.4854666978,1024561.1613505821,1027550.6440454597,1091581.362152266,1042953.1917864776
2020-07-22,1031546.1141378102,1030940.7878318634,1014934.9701191179,1028200.3919299584,1035617.6695528259,1090084.3067642725,1049380.2518457354
2020-07-23,1020092.2093226933,1013561.5274711456,993610.9152477724,1018519.0693362694,1028603.8263392791,1050570.6286331958,1035644.0948610841
