date,a2c,ddpg,ppo,td3,sac,mvo,dji
2022-01-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1003725.5350041934,1000000.0
2022-01-04,999259.462205044,998050.6805385591,999905.5806777497,1002665.7709075928,1001370.1691667938,995513.3664680277,1005865.5090356556
2022-01-05,991615.2196038631,990800.3434322358,996780.2519839248,994141.6624488833,999483.5828885691,976897.4451151888,995135.9926702321
2022-01-06,985433.7292378123,984981.6210475923,996119.3996555327,987724.67138913,995660.7255055238,966007.5658474453,990471.7936775286
2022-01-07,982405.8204525798,982592.09133873,998105.8515484772,985297.0427575381,996189.0163125765,966278.126103557,990340.319245069
2022-01-10,977283.247993256,984917.819659424,995422.647808319,979899.1884179385,989618.2163548319,961617.0556968641,985890.6887128245
2022-01-11,984082.7083770641,987462.1030444833,999993.7615008543,985842.3787408145,992808.6351369784,963744.2727190041,990896.8305641701
2022-01-12,986764.5408734706,991442.5196246835,1002000.6547966078,987190.9700036319,995187.3064086192,968246.2487649524,991943.7059827155
2022-01-13,981758.0643395314,977062.9028033945,994392.3806355665,984585.6257195743,997298.9187945025,948477.4933678957,987113.8656052499
2022-01-14,974179.7898408549,981655.1254520151,998451.6288198621,978750.2122826846,993542.5385575372,958228.377607906,981597.6794899338
2022-01-18,963555.2655071797,969560.9623508188,986467.9564139097,962735.8764214786,982446.4696682246,938524.1137633466,966746.2619987504
2022-01-19,950057.8926841434,966295.8308315012,976260.9101019361,951379.4225487979,976140.1921437037,943807.5005147771,957457.7710136324
2022-01-20,938670.6469500202,963144.188608143,968961.352001045,943741.4994836124,967925.857012726,940894.110184687,948895.2594310356
2022-01-21,923906.7569468159,955285.4329242441,949396.6793980482,932321.6965508731,958407.4507206767,933355.3064627713,936594.6099309392
2022-01-24,931781.4806368488,958553.0038890573,954221.8699379575,938172.4352898868,954685.508820473,929186.1560149846,939304.1859163276
2022-01-25,935382.0628664631,951544.6589908334,943940.0706001623,937398.4944787296,952362.5398072589,914866.9350534626,937479.1239921434
2022-01-26,923552.8557245869,950765.3883266184,935950.7216360205,930978.1851830753,946306.689725796,918740.695778836,933935.601034958
2022-01-27,919096.861141457,954270.8710002634,933599.4486108358,928909.1754784854,943131.7858325655,922718.0771188195,933735.7926978937
2022-01-28,940760.7869455952,974211.2358951303,951394.0299084928,942318.5675378116,957106.0020950739,954655.5769708238,949170.7817344021
2022-01-31,960316.8823321003,984070.4041843149,972065.0432161673,953787.3719659122,968976.6028573954,965552.9111611671,960278.8679313359
2022-02-01,969775.3466951984,982395.05192754,982172.2261331746,963249.3831658633,974812.4175334933,961720.6944630507,967751.3170676774
2022-02-02,971145.9282457966,992485.6223468515,985206.5295995633,968936.385653046,980965.2580333712,974535.6805783217,973876.4949408312
2022-02-03,952690.3342173237,981261.7124042246,959141.7913311345,955059.5064416202,978489.7207599642,961643.8890934417,959713.0632012085
2022-02-04,961880.5325472492,981624.5066508981,973384.848900009,953372.0564751895,977702.7646480562,959358.0065656845,959127.5783065546
2022-02-07,963807.8891375202,978378.126020405,975396.0766163175,954582.0977044376,979916.9932666781,950922.4549366855,959165.5719575149
2022-02-08,971681.4061586994,995402.1340312692,986112.5494443051,966784.1331353458,994772.790710068,959424.6828988253,969324.0902160609
