date,account_value
2022-01-03,1000000.0
2022-01-04,998050.6805385591
2022-01-05,990800.3434322358
2022-01-06,984981.6210475923
2022-01-07,982592.09133873
2022-01-10,984917.819659424
2022-01-11,987462.1030444833
2022-01-12,991442.5196246835
2022-01-13,977062.9028033945
2022-01-14,981655.1254520151
2022-01-18,969560.9623508188
2022-01-19,966295.8308315012
2022-01-20,963144.188608143
2022-01-21,955285.4329242441
2022-01-24,958553.0038890573
2022-01-25,951544.6589908334
2022-01-26,950765.3883266184
2022-01-27,954270.8710002634
2022-01-28,974211.2358951303
2022-01-31,984070.4041843149
2022-02-01,982395.05192754
2022-02-02,992485.6223468515
2022-02-03,981261.7124042246
2022-02-04,981624.5066508981
2022-02-07,978378.126020405
2022-02-08,995402.1340312692
2022-02-09,1001750.6675319406
2022-02-10,981250.151864979
2022-02-11,966121.7250957224
2022-02-14,959007.4611873361
2022-02-15,968590.0313548776
2022-02-16,966953.8523959848
2022-02-17,947483.1519336435
2022-02-18,941659.8776378366
2022-02-22,938486.9837054941
2022-02-23,927174.9428500864
2022-02-24,933411.986818287
2022-02-25,961246.573827717
2022-02-28,959017.2910136911
2022-03-01,950672.8811549875
2022-03-02,965980.5790576669
2022-03-03,964135.953893635
2022-03-04,966794.8190746042
2022-03-07,946849.5175037119
2022-03-08,931187.7758922311
2022-03-09,951102.3485049936
2022-03-10,947926.4940891
2022-03-11,944459.158731434
2022-03-14,945126.7826137277
2022-03-15,965434.6743449899
2022-03-16,975864.361265156
2022-03-17,987202.9592647287
2022-03-18,992830.3204288217
2022-03-21,990121.2972011301
2022-03-22,995094.4375705454
2022-03-23,984917.4462222788
2022-03-24,999130.2356967661
2022-03-25,1002448.5344028207
2022-03-28,1009616.7731075021
2022-03-29,1015574.6574649545
2022-03-30,1019479.8638133737
2022-03-31,1005259.7609157297
2022-04-01,1010901.3014621469
2022-04-04,1013247.8719157907
2022-04-05,1011154.5714511606
2022-04-06,1015259.6993579599
2022-04-07,1019922.8213252756
2022-04-08,1021004.8611621591
2022-04-11,1008008.5307101938
2022-04-12,1002661.4019031259
2022-04-13,1010429.6462230417
2022-04-14,1002260.5122890207
2022-04-18,999202.1202678415
2022-04-19,1008044.9450206491
2022-04-20,1016870.8110599252
2022-04-21,1005262.5886668894
2022-04-22,981379.5617732736
2022-04-25,992516.5100230905
2022-04-26,973579.7541408273
2022-04-27,979274.1555728647
2022-04-28,991870.452772114
2022-04-29,962696.39410207
2022-05-02,959882.8796252939
2022-05-03,959357.0850810739
2022-05-04,982314.3671893808
2022-05-05,955636.1418285104
2022-05-06,958132.3411044809
2022-05-09,943670.5163974497
2022-05-10,946364.9945087167
2022-05-11,937410.445791218
2022-05-12,935335.2539386484
2022-05-13,943892.9532832834
2022-05-16,947834.9590854379
2022-05-17,954730.7953471872
2022-05-18,924029.3733043405
2022-05-19,921190.4091815683
2022-05-20,930833.5033855173
2022-05-23,945814.3808574411
2022-05-24,954369.8541736337
2022-05-25,957313.9019946787
2022-05-26,965894.899747822
2022-05-27,979631.680746052
2022-05-31,972090.7850055429
2022-06-01,973094.1121730539
2022-06-02,978650.9776019785
2022-06-03,969304.4397487375
2022-06-06,970343.4958362314
2022-06-07,980472.4162273142
2022-06-08,973931.6339091989
2022-06-09,959509.0935497019
2022-06-10,941366.6675281259
2022-06-13,918750.8601283762
2022-06-14,912915.1719913217
2022-06-15,920856.7856006357
2022-06-16,902779.1445483896
2022-06-17,905411.9094867441
2022-06-21,932549.2350215646
2022-06-22,940995.0116748544
2022-06-23,954848.1313914987
2022-06-24,972570.3772258493
2022-06-27,973721.8367595407
2022-06-28,960236.3192043039
