,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2018-07-02,AAPL,45.95500183105469,46.82500076293945,45.85499954223633,44.43314743041992,70925200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,AMGN,184.08999633789062,185.4600067138672,182.6999969482422,153.47186279296875,2069800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,AMZN,84.13500213623047,85.69450378417969,83.90299987792969,85.68900299072266,63714000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,AXP,97.4000015258789,99.04000091552734,97.16000366210938,90.43394470214844,3148700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,BA,330.69000244140625,336.3299865722656,329.32000732421875,323.46844482421875,2820700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,CAT,133.8000030517578,136.42999267578125,133.1999969482422,117.70594024658203,3172600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,CRM,136.14999389648438,140.47000122070312,135.3000030517578,139.809326171875,6399200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,CSCO,42.560001373291016,42.83000183105469,42.20000076293945,35.113590240478516,21810900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,CVX,125.27999877929688,125.29000091552734,123.55999755859375,94.73131561279297,5073500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,DIS,104.1500015258789,105.37000274658203,103.9000015258789,101.63230895996094,5488900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,GS,219.75,223.33999633789062,218.88999938964844,193.0878143310547,1723200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,HD,193.82000732421875,194.17999267578125,192.1199951171875,166.4637451171875,3822800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,HON,137.40328979492188,138.9368133544922,137.06784057617188,121.97967529296875,2351194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,IBM,132.1988525390625,134.0535430908203,132.12237548828125,99.5518569946289,3562048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,INTC,49.040000915527344,50.27000045776367,48.83000183105469,42.67348098754883,23755500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,JNJ,121.33999633789062,121.7300033569336,120.11000061035156,102.41841125488281,5481400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,JPM,103.72000122070312,105.08999633789062,103.37999725341797,87.10025024414062,11130000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,KO,43.779998779296875,44.15999984741211,43.58000183105469,35.99991226196289,9232500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,MCD,155.99000549316406,156.8699951171875,155.4499969482422,135.56271362304688,3024000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,MMM,163.4281005859375,163.78762817382812,161.7976531982422,128.15652465820312,2171338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,MRK,57.77671813964844,57.786258697509766,57.17557144165039,47.90958786010742,9546337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,MSFT,98.0999984741211,100.05999755859375,98.0,93.68617248535156,19564500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2018-07-02,NKE,78.58000183105469,79.4800033569336,77.0199966430664,73.17134094238281,11867000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
