date,a2c,ddpg,ppo,td3,sac,mvo,dji
2020-07-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1020020.8163550895,1000000.0
2020-07-02,1000361.5405692598,1000645.7476024628,1000119.3698397103,1000598.3156749725,1000900.7759187928,1023280.4038844851,
2020-07-06,1006755.5594558411,1003547.8352256775,1000908.2044593735,1003960.1327869412,1007945.4906494026,1059889.3910157778,1021449.3879930056
2020-07-07,997330.6640294646,999363.4957576751,999696.8579969027,998522.6941268919,996668.2615128173,1055572.3348060376,1006030.6671361958
2020-07-08,1002580.3520187377,1001978.7578853607,1000529.7703188744,1001982.6210391996,1001672.3381010131,1075945.879870316,1012912.4064989315
2020-07-09,991661.7794970397,998085.9075469971,998645.6151480371,996062.786515808,990270.7890029297,1098139.8499115747,998877.0005585778
2020-07-10,1004811.6641128539,1002331.3496330262,1001119.9940334855,1005112.5085601805,1002216.3921820602,1103467.222712386,1013223.2671944823
2020-07-13,999767.6820266723,999542.4945007326,1001298.622843319,1002164.9169129562,1000853.3840071945,1078025.597955902,1013631.2718573925
2020-07-14,1020009.639149475,1013323.7611598971,1006757.7987913133,1021616.1640314827,1020156.5817260399,1082270.2232437094,1035267.130731494
2020-07-15,1027988.967854309,1017841.2677869722,1009574.0333299334,1029246.8792452583,1030754.1985997048,1071348.7918519825,1044107.2317612201
2020-07-16,1022040.0670669556,1016439.8690414659,1008871.1990954553,1028109.4412417182,1023937.647384861,1062581.6720366103,1038845.8993102778
2020-07-17,1021387.7823684692,1019635.0187830736,1008259.0610565149,1030695.9682917366,1021539.9075151252,1054411.0897480375,1036405.6883864388
2020-07-20,1023781.9039505004,1026716.5233273928,1007892.7990087204,1033607.2624926338,1026564.6131845283,1106291.3422259088,1036755.4066689333
2020-07-21,1026467.2586257934,1023020.9662243349,1009007.8969494742,1037625.236178852,1031320.3552041816,1091581.5454482397,1042953.1917864776
2020-07-22,1028656.4017837524,1024611.4382513964,1011324.7635499114,1044326.3980097541,1031511.2370477485,1090084.2875299826,1049380.2518457354
