date,account_value
2020-07-01,1000000.0
2020-07-02,1000119.3698397103
2020-07-06,1000908.2044593735
2020-07-07,999696.8579969027
2020-07-08,1000529.7703188744
2020-07-09,998645.6151480371
2020-07-10,1001119.9940334855
2020-07-13,1001298.622843319
2020-07-14,1006757.7987913133
2020-07-15,1009574.0333299334
2020-07-16,1008871.1990954553
2020-07-17,1008259.0610565149
2020-07-20,1007892.7990087204
2020-07-21,1009007.8969494742
2020-07-22,1011324.7635499114
2020-07-23,1006389.998260002
2020-07-24,1003426.6919372252
2020-07-27,1006406.5802068785
2020-07-28,1002924.4391247022
2020-07-29,1008086.3138648184
2020-07-30,1000768.1911331483
2020-07-31,1002482.0537647172
2020-08-03,1005296.9479848861
2020-08-04,1006247.998807644
2020-08-05,1019953.6243256456
2020-08-06,1024673.3558783304
2020-08-07,1025282.7186129191
2020-08-10,1037671.9251974908
2020-08-11,1038583.553471222
2020-08-12,1044994.5816902621
2020-08-13,1043049.0957839853
2020-08-14,1041051.7848886034
2020-08-17,1037460.6677903063
2020-08-18,1035569.7761813166
2020-08-19,1034380.8269519808
2020-08-20,1037599.1426021502
2020-08-21,1045282.7091270792
2020-08-24,1063226.9696297343
2020-08-25,1062324.9709529001
2020-08-26,1066052.702191353
2020-08-27,1074307.7238462565
2020-08-28,1079162.639807995
2020-08-31,1074251.2100566484
2020-09-01,1087017.691469559
2020-09-02,1101835.8786905177
2020-09-03,1069035.5270322382
2020-09-04,1068608.8769980662
2020-09-08,1046894.4561608431
2020-09-09,1066528.6363073923
2020-09-10,1048693.2994438976
2020-09-11,1055013.7456718332
2020-09-14,1065817.7434193345
2020-09-15,1055174.092452202
2020-09-16,1057170.6040905002
2020-09-17,1055969.8171041186
2020-09-18,1043412.4708086168
2020-09-21,1021673.3880707438
2020-09-22,1029675.8076911509
2020-09-23,1006501.8831186258
2020-09-24,1010025.8424138911
2020-09-25,1022235.4853905985
2020-09-28,1038228.4297146036
2020-09-29,1030769.8108771098
2020-09-30,1039692.3663908732
2020-10-01,1036629.9017410777
2020-10-02,1032420.450210293
2020-10-05,1052970.567763386
2020-10-06,1035969.2432873728
2020-10-07,1052782.4095803492
2020-10-08,1062447.319817982
2020-10-09,1072288.84372279
2020-10-12,1095680.6583310969
2020-10-13,1084202.8279402505
2020-10-14,1082821.274093075
2020-10-15,1082869.163585316
2020-10-16,1086546.3492509348
2020-10-19,1068894.4163485987
2020-10-20,1078169.701235245
2020-10-21,1078708.8474891474
2020-10-22,1086387.4387609216
2020-10-23,1086222.8453206522
2020-10-26,1064574.4325406535
2020-10-27,1053073.2491143534
2020-10-28,1018118.7362468531
2020-10-29,1038260.4100159876
2020-10-30,1024458.5608970607
2020-11-02,1041072.3760413325
2020-11-03,1061087.5665495417
2020-11-04,1053559.193270199
2020-11-05,1086104.1761807215
2020-11-06,1082464.683231556
2020-11-09,1124455.191147652
2020-11-10,1130248.7071321642
2020-11-11,1128551.8829830554
2020-11-12,1119909.794165459
2020-11-13,1132337.0696667102
2020-11-16,1146849.1267727283
2020-11-17,1140853.8391827014
2020-11-18,1133520.440497246
2020-11-19,1133916.9962681201
2020-11-20,1128317.508997765
2020-11-23,1130115.8618458179
2020-11-24,1148926.716292229
2020-11-25,1144426.4350956348
2020-11-27,1143296.8546589282
2020-11-30,1141797.5767048267
2020-12-01,1158816.3504475025
2020-12-02,1168075.1164005664
2020-12-03,1168661.0782033158
2020-12-04,1183113.3376643374
2020-12-07,1178281.892006363
2020-12-08,1183555.0733764956
2020-12-09,1179883.5423562396
2020-12-10,1181075.2873017658
2020-12-11,1194198.7296039432
2020-12-14,1179358.7497269441
2020-12-15,1211591.0263829425
2020-12-16,1206184.463278744
2020-12-17,1209654.198818104
2020-12-18,1206451.660411732
2020-12-21,1207995.2800787853
2020-12-22,1209174.1553256914
2020-12-23,1215959.6138065264
2020-12-24,1221565.8477832377
2020-12-28,1238783.7299500469
2020-12-29,1229845.023053631
