date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2020-07-01,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-02,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-06,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-07,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-08,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-09,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-10,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-13,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-14,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-15,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-16,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-17,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-20,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-21,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-22,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-23,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-24,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-27,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-28,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-29,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-30,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-07-31,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-03,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-04,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-05,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-06,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-07,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-10,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-11,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-12,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-13,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-14,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-17,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-18,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-19,33,0,0,4,0,45,0,0,7,23,0,0,0,11,10,9,21,0,0,5,39,0,0,0,25,0,22,21,1
2020-08-20,28,0,0,0,0,42,0,0,0,0,0,0,0,11,1,0,0,0,0,0,29,0,0,0,0,0,27,0,-2
