date,a2c,ddpg,ppo,td3,sac,mvo,dji
2022-01-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1003725.3305310335,1000000.0
2022-01-04,1002274.2880106354,1001147.9397502901,1000631.9908339005,1001326.4769111633,1003072.1319764062,995513.3964191879,1005865.5090356556
2022-01-05,994300.7225920716,995684.4880199432,1000393.2715783843,998430.7869964598,998169.035171509,976897.3696886294,995135.9926702321
2022-01-06,994278.3495529329,996162.5121311188,1000645.647609951,999006.4470146179,996342.3091547816,966007.6081599022,990471.7936775286
2022-01-07,995493.8828312379,999681.2663486481,1001769.8567501566,1003164.9336120605,1001287.3012343791,966278.1562164321,990340.319245069
2022-01-10,989156.8770329895,1000506.0661884309,1000610.5331077807,1000713.7114632415,996379.6491917308,961616.9569647165,985890.6887128245
2022-01-11,994530.5634038391,1004296.2262557984,1000903.0043942378,1002219.128737709,1006194.1212315334,963744.3368020892,990896.8305641701
2022-01-12,992019.3425023499,1006198.1572612305,1001753.0852225762,1005280.5459969253,1004266.4727018093,968246.2224832748,991943.7059827155
2022-01-13,988846.5390050354,998442.6946315918,1001836.9285881767,999970.9622223587,1001249.443004452,948477.503588262,987113.8656052499
2022-01-14,976653.6663396301,996262.4671084748,1000044.7761486128,998244.9622872085,1000133.0377615169,958228.3723118762,981597.6794899338
2022-01-18,957895.559146637,982942.2825085602,998164.4319129371,985906.1194603653,981882.2243886683,938524.2113718088,966746.2619987504
2022-01-19,947181.1488988342,972444.3204732437,990697.2589412192,978707.567611,966669.9350726169,943807.5668495597,957457.7710136324
2022-01-20,938722.3783605042,962803.7752255173,986854.5474213181,969239.8502953262,956343.8411395114,940894.1763257022,948895.2594310356
2022-01-21,925405.3048283997,953111.8323320694,976754.271421673,955449.5936463089,934600.3657366794,933355.2791868686,936594.6099309392
2022-01-24,932245.3071019592,951700.2977365036,976420.4608325083,953511.3096420974,934943.6572711032,929186.0780799871,939304.1859163276
2022-01-25,927117.9405553284,957450.9990991135,978779.421302906,951059.2553894729,935094.6240222019,914866.9176914629,937479.1239921434
2022-01-26,917016.3314397278,954830.1701119919,978176.4195532264,949302.3998253555,930416.9992129367,918740.5973825469,933935.601034958
2022-01-27,915694.4027898255,954156.2373040696,975904.7182060548,948650.7318794937,928772.6345202487,922717.9814644097,933735.7926978937
2022-01-28,930862.0230748596,971365.4181741257,985221.0909109726,955908.8385269851,935785.2526003879,954655.5412237362,949170.7817344021
2022-01-31,945258.6946752014,983722.9051888962,990951.3573991738,962872.2846329422,953997.8362261814,965552.9054999938,960278.8679313359
2022-02-01,954724.1883885803,989504.2021401902,1000559.1159617691,968700.6690399856,966461.8090807956,961720.6198356571,967751.3170676774
2022-02-02,956212.7449223938,988623.4092706223,1004485.599903122,974822.4579689712,970141.8943011325,974535.6893648512,973876.4949408312
2022-02-03,942042.0316197815,971451.0142053147,991361.2904790689,954395.4622299881,940071.9424273532,961643.8885936236,959713.0632012085
2022-02-04,944639.2896611633,973549.8745111008,989252.6639616129,955871.1489403457,959531.7292239231,959358.0155905234,959127.5783065546
2022-02-07,945268.6527745667,973360.7869561692,989221.1937156869,956172.1969788284,963621.9307805636,950922.4552876728,959165.5719575149
2022-02-08,956527.065006012,993704.3835900803,995925.1998700334,968109.086009285,973309.1212598422,959424.5569847776,969324.0902160609
2022-02-09,963347.3539617005,997902.7955087204,1005225.3200535586,975923.4464409561,981647.5387670138,967217.8970640008,977668.4799751593
2022-02-10,952749.0140111389,982839.5105966111,998380.6866107065,961807.8366577835,970934.4450971225,946068.7285710961,963278.1796722487
2022-02-11,938114.0453069153,967752.0262521286,989234.064449032,951565.7610657425,951940.9994527438,930975.073843552,949514.9112779916
2022-02-14,933490.7032048645,963519.861441948,986148.0318540842,946720.3737557144,949070.5464078524,932405.949633542,944816.5453329857
2022-02-15,944836.9831578674,980060.3031686326,1000884.0658576548,955700.5118248672,963571.8417951205,944938.4114122002,956369.6219167059
2022-02-16,941991.5545537415,978331.9146340867,1002048.7457756883,955515.1002876968,963479.107690964,946807.6185624332,954878.0294469929
2022-02-17,924915.227405304,958720.8371041794,978764.9409519198,940521.82076194,942391.445264725,936056.5613981863,937869.9939264826
2022-02-18,918698.8323094788,952244.5713342209,971639.6941034815,934858.4927590103,932186.6225879672,930724.8780957125,931505.3740515938
2022-02-22,899466.7276647034,944413.1299737473,964054.1290669328,931572.2854302139,921080.1477153781,920372.2947352962,918315.0171135431
2022-02-23,887497.5458562317,930123.9678491135,947098.0878221132,918059.2201760025,906765.8246715548,901252.763044241,905609.0108913311
2022-02-24,889247.6934087219,929893.4302361985,943044.4090713045,922104.7637474746,917439.6415050509,909580.6622501302,908125.6119301158
2022-02-25,912592.6012608948,955625.3731149216,961653.3889725191,942881.116515419,941816.314097214,930430.5103701294,930946.9493831636
