date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
7/1/2020,88.7960434,223.8211212,143.9349976,89.22905731,180.3200073,115.2043533,191.0419006,40.38661957,72.75119781,112.1256027,177.8573914,223.9493866,132.2618713,92.6887207,52.42576981,124.8234711,82.57589722,39.36968231,167.6092529,108.7763901,65.52204132,197.2681885,92.91313934,108.0221481,102.4187012,280.0996399,187.9963074,43.03611374,37.42457199
7/2/2020,88.7960434,226.5583496,144.5149994,89.49472046,180.8099976,116.7213898,191.6790771,40.32475662,73.32409668,111.3020859,177.7043457,224.2652435,133.0970612,93.59574127,52.71103287,125.348114,82.84413147,39.42238617,166.5745087,109.9031448,66.07561493,198.7715912,93.89569092,108.8324585,102.3822861,280.5982056,189.8299255,43.1305809,37.27448654
7/6/2020,91.17134857,224.8125305,152.852005,91.62939453,187.9100037,118.2841187,196.8461304,41.02290344,73.53997803,113.5344849,186.6706085,225.2128601,135.1161652,93.97888184,53.0765152,127.135376,84.93624878,39.72982788,171.0947113,110.6449661,66.74661255,203.0503998,95.34568024,109.5077057,104.3032303,284.8787537,191.8574982,43.4848175,37.17443466
7/7/2020,90.88846588,222.0928192,150.0059967,88.24238586,178.8800049,116.24617,195.5120544,40.32475662,71.66349792,112.7407455,179.4687958,223.227417,133.0511932,91.93807983,51.98004532,127.019783,82.54013824,39.7122612,168.6621552,108.3495102,66.02531433,200.6893311,92.59833527,110.0389023,102.4005051,279.0835571,188.4037476,43.32737732,39.69462204
7/8/2020,93.00527954,220.7241974,154.0554962,88.13800812,180.0800018,117.096077,199.3948059,40.4838295,71.69671631,115.7470398,182.0704346,224.8698883,133.6201935,92.03972626,52.2474823,127.3932037,83.4163208,39.5892868,168.6894226,108.1815491,65.35432434,205.1030273,94.28681183,110.642128,103.0377808,280.6922607,189.247818,43.59502411,38.90979385
7/9/2020,93.40522003,220.7856445,159.1315002,85.92744446,173.2799988,114.9027786,199.8527985,41.27035522,68.69931793,115.8958588,177.1912231,223.7779236,129.7471924,90.47589111,52.07810974,126.6996689,81.61030579,38.57034302,167.3097534,105.9910355,64.32266235,206.5389709,92.52201843,110.2729874,100.1791611,273.9186707,186.4731903,42.93828964,39.944767
7/10/2020,93.56861877,218.4870758,160,88.45109558,178.4400024,116.9864044,198.0010071,41.23500061,70.76676941,118.4060593,185.0502014,225.7182465,130.7383728,92.54014587,53.06761551,126.5929642,86.07170105,39.65956116,167.8089752,106.9708023,64.3562088,205.9125519,93.47595215,111.5424576,103.6386337,273.9845581,186.8030548,43.37611771,40.86091232
7/13/2020,93.13697815,219.3643494,155.1999969,88.76417542,175.6499939,119.3259735,187.5075989,40.58987808,70.90792084,115.3104782,188.0389099,225.2760315,131.6928864,93.20477295,52.22073746,129.1182404,87.30551147,39.74739456,167.8452759,108.3355103,64.87621307,199.5521545,92.01644897,111.6865311,104.0027924,281.9623718,183.3783722,43.34427643,40.49820328
7/14/2020,94.67823029,222.0401459,154.1999969,89.97857666,179.9600067,125.0925827,188.7221985,40.88150024,73.35730743,117.7313843,192.6570892,232.6492615,135.9238739,94.29946136,52.57731628,131.5279236,87.80617523,40.29199219,173.1096954,110.952919,65.63108826,200.7857056,92.30261993,112.6228485,107.92659,290.2506714,187.5597534,44.13235092,41.27677917
7/15/2020,95.32936859,222.2332001,150.4434967,92.36940002,187.9400024,126.4451294,187.2586823,41.00522614,73.80567932,119.9538574,195.258728,232.6582947,139.4389496,96.17607117,52.62188339,131.8302155,89.16516876,40.75754929,174.0627441,111.5057907,66.62919617,200.4869385,94.00061798,112.0916595,108.4636917,286.064209,190.68367,43.82985687,41.27365494
