date,a2c,ddpg,ppo,td3,sac,mvo,dji
2022-01-03,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1003725.5016278625,1000000.0
2022-01-04,1001916.3173981702,1001729.8343353274,1001138.6105954058,1000777.7679870607,1001409.823247036,995513.3187609733,1005865.5090356556
2022-01-05,998434.853133869,995168.5476509095,997480.5770271951,994362.8559452059,992154.3201028939,976897.3572152059,995135.9926702321
2022-01-06,998182.0692835043,989410.764027054,994215.8113236203,993766.8225540165,990338.9033593903,966007.5689277889,990471.7936775286
2022-01-07,995795.3025927236,988394.8888441621,992769.4009344487,997446.8768363956,990264.1193658486,966278.1652003729,990340.319245069
2022-01-10,987969.8072602269,981430.9724699556,990535.0882828566,989400.1601131442,984506.5194479409,961616.9022625072,985890.6887128245
2022-01-11,991103.3587575833,987109.420208603,995751.7005095603,997919.9482448924,989659.8972097817,963744.3955845443,990896.8305641701
2022-01-12,996125.2116658055,991787.4088865815,992754.1604614035,999757.335498463,989512.6147848549,968246.2568498696,991943.7059827155
2022-01-13,990974.9101889379,986197.6126066743,987265.1274311607,993743.1049254268,979658.3570105019,948477.5302080901,987113.8656052499
2022-01-14,975770.3104219473,981819.1956984102,979075.80966845,990990.2075089877,976835.3177000466,958228.3447435558,981597.6794899338
2022-01-18,965529.8453750799,970017.7076231538,953893.7179309699,984277.880613602,959283.832665104,938524.0969498786,966746.2619987504
2022-01-19,948779.4401844328,958729.3063170015,940481.1550502478,971151.2934281619,951402.8006521645,943807.3939628814,957457.7710136324
2022-01-20,937332.3740815923,950397.1167494355,932150.270976174,962154.9244820864,941635.5791593972,940894.0100133788,948895.2594310356
2022-01-21,924494.2441255796,937714.622288376,919854.2326432272,940371.4624688418,923426.4146391335,933355.3575910181,936594.6099309392
2022-01-24,931771.034159191,941236.9683958589,923002.3159941795,944211.5872323306,923975.8922125283,929186.0901322307,939304.1859163276
2022-01-25,936025.6784273947,941180.5342680513,915162.3733863836,951473.5868050845,922769.428002018,914866.9362440103,937479.1239921434
2022-01-26,931138.7078441695,940550.2913710176,914367.0402808386,937840.8711221011,922199.48335709,918740.666252961,933935.601034958
2022-01-27,930168.8132669638,939720.8261534272,912325.7733818137,937632.8801171572,921680.6088644448,922718.0322111181,933735.7926978937
2022-01-28,954118.7916978643,956795.5592009126,926687.6165264136,951936.5573518069,940126.2679602089,954655.3972163333,949170.7817344021
2022-01-31,958059.3627963484,965543.0791899263,941306.9516016394,968845.6386811526,953677.6145636025,965552.9169637265,960278.8679313359
2022-02-01,965155.7904845274,972984.0183378755,948589.0933524482,978141.5508668215,962812.0848471108,961720.6793403045,967751.3170676774
2022-02-02,972266.0314839705,982238.4401976167,957418.5327786567,976899.3841874392,964596.2213674965,974535.6949469815,973876.4949408312
2022-02-03,959576.5131110114,967006.5163237153,946663.089200257,962581.8839967044,944304.1809927407,961643.8629247575,959713.0632012085
2022-02-04,957194.7267791517,964532.8367353975,946856.4277130591,965296.943868378,955082.2225996437,959358.010177505,959127.5783065546
2022-02-07,955215.5091349257,965429.1608015596,947497.2438434416,968896.3747765811,953234.3883711281,950922.4167450008,959165.5719575149
2022-02-08,970306.2993870009,979124.0431105195,958712.2993876006,981953.628759125,960149.657589573,959424.6048642958,969324.0902160609
2022-02-09,974736.920244087,987375.2032972871,968050.5769107711,991754.8007027896,971728.5973936501,967217.8960937178,977668.4799751593
2022-02-10,958279.2732473982,971037.9142958223,951858.0466370627,987348.3289773257,959699.8352247658,946068.6170188122,963278.1796722487
2022-02-11,947799.8874343451,957011.4163328706,934474.3507598425,969740.6690537722,942271.8679434243,930975.0896471369,949514.9112779916
2022-02-14,943143.3176501959,953649.3862349092,930254.1906197211,966113.0584695132,940859.9274412575,932405.8421148909,944816.5453329857
2022-02-15,953935.4732367247,966615.5294233857,942213.247369866,983710.3655602725,954867.8170820656,944938.3778889556,956369.6219167059
2022-02-16,953638.3378953703,966900.6021849214,940112.7166698729,984118.5392014773,954162.1930166665,946807.5826972629,954878.0294469929
2022-02-17,943266.9599172209,951193.363064438,920479.0991093337,963607.6041962893,931840.2167517128,936056.5722605466,937869.9939264826
2022-02-18,940342.3075254095,945149.2551619111,912324.8077769896,955754.9342515261,923656.2184111062,930724.7931969486,931505.3740515938
2022-02-22,934529.3501203307,927294.9400755464,893531.9502379729,941321.2561929019,915398.9855352822,920372.3091807065,918315.0171135431
2022-02-23,921912.7936803282,913742.703739792,881592.4007541015,930488.3641145022,898793.8013578835,901252.901719988,905609.0108913311
2022-02-24,920482.1067217787,916712.076458603,883690.6091000907,936893.8267876895,910203.5312582436,909580.6720469058,908125.6119301158
2022-02-25,948283.996499916,939385.0210539399,909091.6895933158,960144.6908356936,929175.5360266152,930430.4366999515,930946.9493831636
2022-02-28,942726.1780413588,937790.0697218477,904491.1532739684,957850.0229966433,923217.2475859108,927028.3122863153,926405.4780831301
2022-03-01,922108.9357775649,921146.5820128022,891593.0278778311,933827.0671136172,900637.3576818886,914228.1860107521,910069.5748483124
2022-03-02,934698.422204872,938827.2037169038,910511.4769823691,948459.1950356753,915291.2057882729,926387.7616194845,926371.3111308278
2022-03-03,936278.7461413344,936649.8169676362,906359.9518494803,942961.0914437564,909950.8841253701,923297.608014225,923728.4290363336
2022-03-04,929983.8335741957,930191.4290815889,906482.8079470984,928645.2850587161,898312.9894377175,913804.4961802298,918812.2146034476
2022-03-07,910962.6283740004,908458.8282896577,885854.159248429,900029.9045579226,870187.1941839638,891648.6070362574,897015.8857194713
2022-03-08,898564.372293373,905607.3565718232,874444.2146520315,892450.0927064212,866996.5688749733,871943.8703617138,891966.2835047968
2022-03-09,919605.3128603896,924963.141163498,897133.4619778182,912520.1479203494,891216.1138349953,898058.9507625706,909831.7728602878
2022-03-10,910836.414468666,923021.9968000947,893038.1108550917,906782.177121857,887846.3582960549,878409.8898628782,906765.4938928623
