date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
1/3/2022,179.2736053,207.8071594,170.4044952,161.6999207,207.8600006,195.7609406,254.3309326,57.54347992,107.2700424,155.5332184,366.3116455,380.5411072,195.0427399,120.110466,49.35048676,158.509079,148.6650696,54.5906601,252.3116455,130.6266937,71.08836365,326.9408569,158.9351654,152.142334,147.0171661,482.8866577,216.7935486,44.10086441,46.30584717
1/4/2022,176.9983368,208.8613586,167.5220032,166.8909302,213.6300049,206.2393188,247.1328888,56.13215256,109.2218781,154.5112762,377.5697937,384.4522705,197.1176453,121.8586426,49.28556442,158.0840302,154.3009644,55.50204086,252.2459869,132.456665,71.21783447,321.3347168,160.5952759,152.6746979,150.0849457,471.9460144,217.802002,44.96707535,45.45751572
1/5/2022,172.2902222,206.386261,164.3569946,165.1125336,213.0700073,207.818634,226.6637573,55.24320602,109.932457,153.9755096,369.3694153,379.2373657,199.0605316,122.0352173,49.96260834,159.1374359,151.4799957,55.96232986,251.0058746,131.9128113,72.9471817,308.9993591,156.5994415,153.3658295,150.8117676,470.7828064,215.3935242,45.42961121,46.07215881
1/6/2022,169.4141083,206.4137268,163.2539978,166.6255646,211.3399963,209.937027,228.137207,55.82973099,110.867897,155.6721191,367.7941895,377.8591614,198.834198,119.4924393,50.09245682,158.5922546,153.089325,55.66775513,253.3544312,130.8177795,72.90093994,306.5577087,155.4315643,152.0769653,153.2282257,451.5165405,215.1487427,45.21096039,45.94410706
1/7/2022,169.5815582,208.357132,162.5540009,168.0518494,215.5,212.0175934,227.3009186,56.02218246,112.459938,156.5948486,368.3316956,366.5445557,203.483902,119.0421829,49.56380081,160.7359924,154.6061554,55.53886795,250.8837433,132.2508545,74.26038361,306.7139893,151.5033264,151.9929047,156.9189606,440.8931885,212.41716,46.16420746,46.38267517
1/10/2022,169.6012573,211.1806183,161.4859924,167.4350739,209.3099976,209.6060333,228.615097,56.65452576,112.5319061,155.3744812,369.869812,360.8174133,201.3240814,119.2187424,51.20541763,159.9413147,154.7541351,55.6309166,248.3943024,130.3841553,76.17469025,306.9385681,145.2007599,149.9194946,154.8612213,447.0460815,207.531662,45.84929276,46.29304886
1/11/2022,172.4478302,213.0231934,165.3619995,169.0155334,216.0200043,208.007782,233.8020782,57.15857315,115.1043701,156.6543732,373.4649658,360.0818481,204.0120392,117.3116608,51.85464478,158.2411194,154.9114075,55.64933014,246.2429962,131.5380249,75.52735138,307.6320801,145.0656281,148.1823273,154.0116882,450.8916016,209.8911896,45.61097717,46.16179276
1/12/2022,172.891037,212.454834,165.2070007,168.1385651,217.4499969,210.3247833,236.7788544,56.9294548,114.5287094,156.5650787,361.6601563,362.624054,205.8417664,117.9473724,51.69697571,156.8919983,155.7900543,55.73218536,245.1156464,131.8613739,75.09268951,310.8453064,146.9091339,148.5092163,153.8323364,455.4293213,211.1933441,45.49182129,45.91849136
1/13/2022,169.6012573,211.6206512,161.2140045,167.0013885,223.8999939,214.6750336,227.6195374,56.36126328,114.052002,154.2235565,362.1141968,360.3704834,206.9546814,118.9803696,50.9549942,155.9402466,155.5958099,56.06359482,245.5760193,133.0372772,75.20366669,297.6895142,144.3803406,147.8367767,153.9078522,449.3822327,210.4981995,45.55139923,46.56835556
1/14/2022,170.4680328,215.7549438,162.1380005,162.2888336,225.9600067,216.5096893,230.2080383,56.23297119,115.9948349,150.750946,352.9779663,346.4205322,205.2758636,118.4947815,51.65987396,155.0901489,146.0323486,56.51468277,242.1000671,131.361618,75.2591629,302.9635925,143.0194397,149.2563782,154.0588837,450.5935669,210.1751099,45.34712982,46.43709564
1/18/2022,167.2471771,214.352417,158.9174957,160.1397705,225.0099945,217.3891907,225.0608826,54.73915482,116.3726196,151.0783691,328.3860168,341.5036316,201.4467163,117.3734818,50.78805542,154.4063873,139.9095154,56.06359482,240.9445953,131.0235596,75.40711212,295.5896606,141.8323059,146.379776,154.3987122,443.1908569,211.1933441,45.47480392,45.62398148
1/19/2022,163.7308502,212.0331421,156.298996,155.5332336,217.0800018,210.6420898,225.2699432,53.97851181,115.9498596,148.935257,321.8257751,334.9569702,198.7493134,116.1727371,49.73074722,153.9258575,137.7452545,56.15565109,239.76091,131.1705322,75.17592621,296.2537537,140.0563812,151.3017578,151.0949249,444.6618042,210.1849213,45.53437805,46.07855606
1/20/2022,162.0366821,209.8330841,151.6674957,155.0803223,214.1900024,205.8621216,221.9546661,53.22703171,115.5361023,146.4647369,322.5484619,325.5422058,197.0422211,115.5017242,48.26535034,152.6968842,136.5706329,55.92550659,237.7975006,127.5620193,74.67653656,294.5641174,137.7592468,152.1186981,155.9184418,445.1232605,209.8618164,45.44927216,45.20782471
1/21/2022,159.9682922,208.751358,142.6430054,152.9793701,205.4400024,203.4483795,217.6637115,51.94400787,114.1509247,136.3048859,318.6660156,325.0951538,193.4394073,114.2038574,48.26535034,152.3457336,134.1843872,55.64933014,239.1690674,126.8858871,73.96445465,289.1240845,137.9715729,152.7008972,153.4925079,443.3639832,201.6181335,45.24499893,44.87809753
1/24/2022,159.1901703,207.2479706,144.5440063,153.1625366,204.1999969,203.6764832,222.0442657,52.14562607,114.3937836,136.3842621,318.1842346,338.7937012,192.8263397,113.7359238,48.17259979,150.5901184,134.0641785,55.19824219,238.2484436,126.9961319,72.90093994,289.4561768,140.91539,151.4613953,159.3637695,444.4215088,197.6235504,45.07477951,44.88130569
1/25/2022,157.3778076,206.2945709,139.9859924,166.8279266,204.1000061,203.6574402,214.4380341,51.42163086,119.2598801,135.4416809,316.4792786,334.2958069,190.7985992,120.1634674,47.30078125,154.8961029,135.5255127,55.06936646,235.4958801,127.6943359,73.48355103,281.7600403,140.4134979,149.8087616,159.1466522,439.2011108,197.7703857,45.02371597,43.9049263
1/26/2022,157.2891693,204.0028229,138.8724976,168.9577332,194.2700043,203.638443,210.0674438,50.70681,119.3498306,132.5544586,317.5263672,332.712677,189.2423706,118.5389099,47.94073868,155.5891418,136.8110657,54.86683655,234.7161713,124.4238815,73.18763733,289.788269,138.9753876,148.5035248,158.4481659,440.7297363,201.5593262,43.42362595,43.45674896
1/27/2022,156.8262482,205.341217,139.6374969,165.6617889,189.75,201.6238251,211.7997437,50.05612946,121.7603836,134.3602142,315.9974365,331.9211731,189.2423706,117.0026627,44.56475449,157.6312561,134.3971405,54.91286469,233.6734009,125.0559311,74.51931,292.8452148,139.6027527,149.4237823,156.3715057,443.7772827,201.8335114,43.5683136,43.48556137
1/28/2022,167.7692108,210.0530701,143.9779968,170.6345673,190.5700073,191.1610718,221.1482544,50.96341324,117.4789581,137.5450897,321.5385437,341.3359985,190.5061798,118.7508011,44.26797485,158.7400665,135.5994415,56.00836563,240.5782013,119.8672791,74.81525421,301.0687866,140.8285217,150.7101746,157.4664764,448.065155,223.2259979,45.02371597,44.02335739
1/31/2022,172.1523132,208.2196808,149.5735016,173.2944183,200.2400055,191.541214,231.6018372,51.01839447,118.126564,141.85112,328.6455688,341.745697,192.8546448,117.929718,45.27890778,159.2021179,137.440033,56.16485977,243.7346802,122.013298,75.35163879,303.7253723,142.9132996,150.6632538,156.8623657,454.3237305,221.4342957,45.3045845,44.75644302
2/1/2022,171.9848938,209.6314087,151.1934967,176.8794098,208.3399963,195.1428375,231.0940857,50.74346924,121.2386932,143.3592377,337.3369751,343.3475037,193.6657562,119.6601868,45.39948273,157.8992157,139.7985229,55.75059891,243.3025208,123.0495758,75.75853729,301.5571289,143.058075,149.9965668,158.5708923,450.3243713,227.4947205,45.2790451,45.10858536
2/2/2022,173.1963654,209.8605652,150.6125031,177.4769135,207.5200043,194.7532196,224.0155029,51.47661972,121.7963715,141.5038605,336.4103699,348.0316162,195.7501068,121.1788025,45.91885757,159.6456299,138.6794128,56.32136154,246.3932953,122.4836426,75.84177399,306.147522,143.5309906,152.6821136,163.035675,461.2554016,230.4906158,45.78970718,45.08937454
2/3/2022,170.3005676,205.3778992,138.8455048,177.3612976,206.3899994,190.6194458,211.8296204,50.58767319,120.7080231,138.9341278,332.5372009,339.7249756,180.8389587,121.6467667,44.77807617,159.6363983,137.5325012,56.71721268,244.8526459,120.815361,73.06741333,294.2223206,140.2494049,154.1281586,162.4221039,469.8982544,226.6918793,45.78120422,45.13419724
2/4/2022,170.0145874,203.6086578,157.6394958,179.1056213,206.4499969,188.5477753,218.2610474,50.54185104,122.2191391,140.9085693,340.617157,334.938385,180.6126099,121.0905228,44.86685562,158.5922546,141.1026459,56.11882782,244.3077698,118.1255264,72.65123749,298.802948,140.3265991,151.6773682,162.2616119,464.5144653,223.6078339,45.37266922,44.60279083
2/7/2022,169.294632,204.9103699,157.9355011,181.0523071,211.9199982,189.8877106,216.0110474,50.56017685,124.6207123,141.3947144,341.1267395,332.7779541,181.5368652,121.1699829,45.02573013,158.065567,141.5743408,56.70800018,244.1104736,118.4488754,71.74495697,293.9293213,140.0853119,150.5411835,161.7236023,465.0239868,222.4035797,45.1088295,44.16422272
2/8/2022,172.4209595,220.9343109,161.4134979,186.9598541,213.2700043,191.4842072,216.4690094,50.7159729,122.7228165,141.3649597,342.9336548,336.5866394,183.4986115,120.9757385,45.61447906,158.4813385,144.2380371,57.07624054,244.3265228,119.360199,71.12535858,297.4550781,138.5314026,150.2031555,162.8280334,474.3591003,223.1672363,44.95561981,44.1738205
2/9/2022,173.8509827,217.4325409,161.1894989,189.2727203,215.8600006,193.4797974,221.0586395,51.58659744,123.9370956,146.0777893,347.0384521,339.3152161,185.4414978,121.6555786,46.6424675,158.4628754,144.8392334,56.19247437,244.1198578,120.2641373,70.77393341,303.9500122,141.1663208,149.8650818,163.0450592,478.867981,226.0358887,45.53437805,44.07778931
