date,account_value
2022-01-03,1000000.0
2022-01-04,1001916.3173981702
2022-01-05,998434.853133869
2022-01-06,998182.0692835043
2022-01-07,995795.3025927236
2022-01-10,987969.8072602269
2022-01-11,991103.3587575833
2022-01-12,996125.2116658055
2022-01-13,990974.9101889379
2022-01-14,975770.3104219473
2022-01-18,965529.8453750799
2022-01-19,948779.4401844328
2022-01-20,937332.3740815923
2022-01-21,924494.2441255796
2022-01-24,931771.034159191
2022-01-25,936025.6784273947
2022-01-26,931138.7078441695
2022-01-27,930168.8132669638
2022-01-28,954118.7916978643
2022-01-31,958059.3627963484
2022-02-01,965155.7904845274
2022-02-02,972266.0314839705
2022-02-03,959576.5131110114
2022-02-04,957194.7267791517
2022-02-07,955215.5091349257
2022-02-08,970306.2993870009
2022-02-09,974736.920244087
2022-02-10,958279.2732473982
2022-02-11,947799.8874343451
2022-02-14,943143.3176501959
2022-02-15,953935.4732367247
2022-02-16,953638.3378953703
2022-02-17,943266.9599172209
2022-02-18,940342.3075254095
2022-02-22,934529.3501203307
2022-02-23,921912.7936803282
2022-02-24,920482.1067217787
2022-02-25,948283.996499916
2022-02-28,942726.1780413588
2022-03-01,922108.9357775649
2022-03-02,934698.422204872
2022-03-03,936278.7461413344
2022-03-04,929983.8335741957
2022-03-07,910962.6283740004
2022-03-08,898564.372293373
2022-03-09,919605.3128603896
2022-03-10,910836.414468666
2022-03-11,909204.7957400283
2022-03-14,916030.8389605483
2022-03-15,934684.8951586684
2022-03-16,943597.8007372817
2022-03-17,956114.4361361464
2022-03-18,962865.9300250014
2022-03-21,961076.6599291762
2022-03-22,966078.9451464614
2022-03-23,952180.1592654189
2022-03-24,961282.9480456313
2022-03-25,968700.6231707534
2022-03-28,973607.3873232802
2022-03-29,981949.8817767104
2022-03-30,978896.2703494033
2022-03-31,968418.8149203261
2022-04-01,976883.0993899306
2022-04-04,978503.3621462783
2022-04-05,971809.2646883925
2022-04-06,970258.4558047255
2022-04-07,969543.2899264296
2022-04-08,972505.2878283461
2022-04-11,963639.6392611464
2022-04-12,957346.4810046157
2022-04-13,963623.4480761489
2022-04-14,959488.4973849257
2022-04-18,956780.1272677382
2022-04-19,962588.2303179702
2022-04-20,972696.5041293105
2022-04-21,965506.6256274184
2022-04-22,943008.5263155898
2022-04-25,952740.7224749526
2022-04-26,934214.2946795424
2022-04-27,939412.1010406836
2022-04-28,950091.7041824682
2022-04-29,923221.9900253637
2022-05-02,918240.2648285254
2022-05-03,918015.3989837988
2022-05-04,939530.1859634741
2022-05-05,913302.6315964087
2022-05-06,911088.4513481482
2022-05-09,900568.6863907202
2022-05-10,902605.8121956213
2022-05-11,897506.9245766028
2022-05-12,897109.7854050024
2022-05-13,907137.8825043066
2022-05-16,908752.4469421728
2022-05-17,921375.003807865
2022-05-18,897197.7433517798
2022-05-19,878317.5430153235
2022-05-20,885112.1597832068
2022-05-23,903216.0286835058
2022-05-24,904977.4709251745
2022-05-25,908088.4825294836
2022-05-26,918295.1236732824
2022-05-27,932202.8040779455
2022-05-31,928542.2476471289
2022-06-01,927042.1804893835
2022-06-02,937369.5928543432
2022-06-03,928350.2211273535
2022-06-06,928503.5100639685
2022-06-07,936919.4877937658
2022-06-08,930038.9757049902
2022-06-09,910955.6518715246
2022-06-10,894087.3420532568
2022-06-13,871501.1924522741
2022-06-14,864245.5615280493
2022-06-15,869754.3446014746
2022-06-16,850029.5891502722
2022-06-17,857315.2542961462
2022-06-21,872683.5054481848
2022-06-22,876038.7371986731
2022-06-23,883861.075871311
2022-06-24,909221.7715004309
2022-06-27,904236.2243355139
2022-06-28,888125.3881004675
